trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,17.712589982999816,None,668.2659061189997,None,668.2659061189997,None,668.2659061189997,None,707.4645688789997,None,753.89270192,3,6,4,9,0,5,2,7,1.6,1,1,2,1.5,1.6,2.1,773.6927727729999,None,773.6927727729999,None,773.6927727729999,None,773.6927727729999,None,773.6927727729999,None,773.6927727729999,None,773.6927727729999,None,773.6927727729999,None,773.7994412809994,774.3058598719999,773.7994412809994,774.3058598719999,773.7994412809994,774.3058598719999,left,2.959910196000237,773.7994412809994,None,776.8382404449994,None,z,6.817230028000267,776.8382404449994,None,776.8382404449994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,770.0843066299994,2,7,1,6,0,9,4,5,1.6,0,1,4,2.9000000000000004,1.6,2.9000000000000004,791.2860730989996,None,791.2860730989996,None,791.2860730989996,None,791.2860730989996,None,791.2860730989996,None,791.2860730989996,None,791.2860730989996,None,791.2860730989996,None,790.0066062449996,790.5130250550001,790.0066062449996,790.5130250550001,790.0066062449996,790.5130250550001,left,2.8813503889996355,791.2860730989996,None,794.2316967749994,None,x,1.407764964999842,794.2316967749994,None,794.2316967749994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,781.4521015109995,1,8,4,7,3,6,2,9,1.6,0,0,4,2.9000000000000004,1.6,2.9000000000000004,802.6550921979997,None,802.6550921979997,None,802.6550921979997,None,802.6550921979997,None,802.6550921979997,None,802.6550921979997,None,802.6550921979997,None,802.6550921979997,None,801.3756185129996,801.8821339850001,801.3756185129996,801.8821339850001,801.3756185129996,801.8821339850001,down,1.520255243000065,802.6550921979997,None,804.2278575569999,None,z,1.1155932679994294,804.2278575569999,None,804.2278575569999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,791.0786471000001,1,5,4,7,0,8,2,9,1.6,1,1,4,1.5,1.6,2.1,810.8919691669998,None,810.8919691669998,None,810.8919691669998,None,810.8919691669998,None,810.8919691669998,None,810.8919691669998,None,810.8919691669998,None,810.8919691669998,None,810.9719351140002,811.4785591469999,810.9719351140002,811.4785591469999,810.9719351140002,811.4785591469999,down,2.251512650999757,810.9719351140002,None,813.2644794059997,None,x,0.9429701649996787,813.2644794059997,None,813.2644794059997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,798.3394322100003,3,6,4,5,2,7,1,9,1.6,1,0,4,1.5,1.6,2.1,818.1559102860001,None,818.1559102860001,None,818.1559102860001,None,818.1559102860001,None,818.1559102860001,None,818.1559102860001,None,818.1559102860001,None,818.1559102860001,None,818.2625873809993,818.7690260139998,818.2625873809993,818.7690260139998,818.2625873809993,818.7690260139998,down,1.4808563810001942,818.2625873809993,None,819.7820064819998,None,z,0.7374561560000075,819.7820064819998,None,819.7820064819998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,804.5625606859994,3,5,2,6,0,7,4,9,1.6,0,1,5,2.9000000000000004,1.6,2.9000000000000004,825.75308442,None,825.75308442,None,825.75308442,None,825.75308442,None,825.75308442,None,825.75308442,None,825.75308442,None,825.75308442,None,824.4469121920001,824.9532916459993,824.4469121920001,824.9532916459993,824.4469121920001,824.9532916459993,left,3.974260422000043,825.75308442,None,829.7781853449997,None,c,1.317282005999914,829.7781853449997,None,829.7781853449997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,814.7457410500001,1,9,3,5,4,6,2,7,1.6,1,0,0,1.5,1.6,2.1,834.5497366789996,None,834.5497366789996,None,834.5497366789996,None,834.5497366789996,None,834.5497366789996,None,834.5497366789996,None,834.5497366789996,None,834.5497366789996,None,834.6562765190001,835.1628435109997,834.6562765190001,835.1628435109997,834.6562765190001,835.1628435109997,down,5.799171525999554,834.6562765190001,None,840.4939712320001,None,c,0.8254324710005676,840.4939712320001,None,840.4939712320001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,989.8524116669996,2,9,1,7,4,5,3,8,0,1,6,1007.6041276939995,None,2,9,1,7,4,5,0,8,0,1010.2165074750001,None,1010.2165074750001,None,1010.2165074750001,None,1010.2165074750001,None,1010.2165074750001,None,1010.2165074750001,None,1010.2165074750001,None,1010.2165074750001,None,1008.9103521179995,1009.4167457980002,1008.9103521179995,1009.4167457980002,1008.9103521179995,1009.4167457980002,None,None,down,1.43887905199972,1010.2165074750001,None,None,None,z,1.1968524060002892,1011.7226345620002,None,1012.9488303099997,None,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,995.7892100099998,4,5,1,7,0,6,2,8,0,0,7,1013.5352868760001,None,4,5,1,7,0,6,2,8,0,1016.1209502499996,None,1016.1209502499996,None,1016.1209502499996,None,1016.1209502499996,None,1016.1209502499996,None,1016.1209502499996,None,1016.1209502499996,None,1016.1209502499996,None,1014.8414236299996,1015.3478466830002,1014.8414236299996,1015.3478466830002,1014.8414236299996,1015.3478466830002,None,None,left,1.3585573620002833,1016.1209502499996,None,None,None,x,0.6256406250004147,1017.533750308,None,1018.2001755370002,None,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1001.0399046900002,2,6,4,7,1,8,0,5,0,0,6,1018.7866398649994,None,2,6,4,7,1,8,0,5,0,1021.3989226879994,None,1021.3989226879994,None,1021.3989226879994,None,1021.3989226879994,None,1021.3989226879994,None,1021.3989226879994,None,1021.3989226879994,None,1021.3989226879994,None,1020.0927267500001,1020.5992576219996,1020.0927267500001,1020.5992576219996,1020.0927267500001,1020.5992576219996,None,None,left,1.2725725370000873,1021.3989226879994,None,None,None,z,0.7716899930001091,1022.7317754999995,None,1023.5313994009994,None,,,,,,,,,109,32,2022_Sep_21_1336,templeton_exp2A_SD,2020.2.10,37.50657490254292,
