trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,20.69459327700001,None,194.855313098,None,194.855313098,None,194.855313098,None,224.52406258499997,None,253.746544622,4,9,0,7,2,6,1,5,1.6,0,0,6,2.9000000000000004,1.6,2.9000000000000004,277.930487295,None,277.930487295,None,277.930487295,None,277.930487295,None,277.930487295,None,277.930487295,None,277.930487295,None,277.930487295,None,276.624339375,277.130800077,276.624339375,277.130800077,276.624339375,277.130800077,down,0.7341722510000182,277.930487295,None,278.730237521,None,c,16.15838433900001,278.730237521,None,278.730237521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,287.855832485,0,7,2,5,4,6,3,9,1.6,0,0,4,2.9000000000000004,1.6,2.9000000000000004,312.037657324,None,312.037657324,None,312.037657324,None,312.037657324,None,312.037657324,None,312.037657324,None,312.037657324,None,312.037657324,None,310.731403112,311.23792236599996,310.731403112,311.23792236599996,310.731403112,311.23792236599996,left,2.7468963540000004,312.037657324,None,314.849886277,None,x,1.6547921420000193,314.849886277,None,314.849886277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,303.565540101,0,9,4,6,3,5,1,8,1.6,1,1,6,1.5,1.6,2.1,326.33883127999997,None,326.33883127999997,None,326.33883127999997,None,326.33883127999997,None,326.33883127999997,None,326.33883127999997,None,326.33883127999997,None,326.33883127999997,None,326.44549825,326.951983839,326.44549825,326.951983839,326.44549825,326.951983839,down,2.0911025369999834,326.44549825,None,328.578015199,None,x,3.1106547900000123,328.578015199,None,328.578015199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,313.686490239,3,5,2,6,4,8,0,7,1.6,1,1,3,1.5,1.6,2.1,336.481670358,None,336.481670358,None,336.481670358,None,336.481670358,None,336.481670358,None,336.481670358,None,336.481670358,None,336.481670358,None,336.56158776399997,337.06807270999997,336.56158776399997,337.06807270999997,336.56158776399997,337.06807270999997,left,2.423078117999978,336.56158776399997,None,339.014066926,None,z,2.05060540300002,339.014066926,None,339.014066926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,322.562181698,2,9,4,6,0,5,1,7,1.6,1,1,2,1.5,1.6,2.1,345.331625217,None,345.331625217,None,345.331625217,None,345.331625217,None,345.331625217,None,345.331625217,None,345.331625217,None,345.331625217,None,345.438259208,345.944766248,345.438259208,345.944766248,345.438259208,345.944766248,down,2.050350521999974,345.438259208,None,347.51746115099996,None,z,0.9392015039999819,347.51746115099996,None,347.51746115099996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,329.70677852800003,4,8,2,9,1,6,3,7,1.6,1,1,5,1.5,1.6,2.1,352.502296328,None,352.502296328,None,352.502296328,None,352.502296328,None,352.502296328,None,352.502296328,None,352.502296328,None,352.502296328,None,352.582256203,353.088682776,352.582256203,353.088682776,352.582256203,353.088682776,down,1.5943943869999657,352.582256203,None,354.20829695,None,z,1.38432803500001,354.20829695,None,354.20829695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,336.530692344,2,8,3,9,4,5,0,6,1.6,0,0,2,2.9000000000000004,1.6,2.9000000000000004,360.71250605,None,360.71250605,None,360.71250605,None,360.71250605,None,360.71250605,None,360.71250605,None,360.71250605,None,360.71250605,None,359.40625811,359.912783926,359.40625811,359.912783926,359.40625811,359.912783926,down,1.864138658999991,360.71250605,None,362.605061409,None,z,0.7076128639999979,362.605061409,None,362.605061409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,363.175790891,4,5,2,9,0,8,1,6,0,1,3,383.903620883,None,4,5,2,3,0,8,1,6,1,386.516064725,None,386.516064725,None,386.516064725,None,386.516064725,None,386.516064725,None,386.516064725,None,386.516064725,None,386.516064725,None,385.209791533,385.716385411,385.209791533,385.716385411,385.209791533,385.716385411,None,None,left,0.9805922810000425,386.516064725,None,None,None,x,6.29563495299999,387.56903035299996,None,393.91324631,None,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,373.760871676,2,7,4,6,0,5,3,8,0,1,2,394.486306201,None,2,7,1,6,0,5,3,8,2,397.085420668,None,397.085420668,None,397.085420668,None,397.085420668,None,397.085420668,None,397.085420668,None,397.085420668,None,397.085420668,None,395.80584542599996,396.312343929,395.80584542599996,396.312343929,395.80584542599996,396.312343929,None,None,left,0.8992529059999583,397.085420668,None,None,None,z,0.6355960680000408,398.04503145399997,None,398.71145118699997,None,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,378.55838067599996,4,6,0,8,1,9,3,5,0,0,7,399.28450945299994,None,4,6,0,8,1,9,3,5,0,401.883580919,None,401.883580919,None,401.883580919,None,401.883580919,None,401.883580919,None,401.883580919,None,401.883580919,None,401.883580919,None,400.577391112,401.08387491199994,400.577391112,401.08387491199994,400.577391112,401.08387491199994,None,None,left,2.43712303399991,401.883580919,None,None,None,x,2.8273320380000087,404.389305249,None,407.26814747699996,None,,,,,,,,,103,32,2022_Sep_08_1409,templeton_exp2A_SD,2020.2.10,37.507892785878504,
