trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,32.96251299400001,None,96.63172764699993,None,96.63172764699993,None,96.63172764699993,None,110.81301164299998,None,156.65555687000005,4,7,0,8,1,6,2,9,1.6,1,0,3,1.5,1.6,2.1,191.70240557800003,None,191.70240557800003,None,191.70240557800003,None,191.70240557800003,None,191.70240557800003,None,191.70240557800003,None,191.70240557800003,None,191.70240557800003,None,191.80897068699983,192.31550354700016,191.80897068699983,192.31550354700016,191.80897068699983,192.31550354700016,left,4.230123446000107,191.80897068699983,None,196.10073877399986,None,c,8.458328909999636,196.10073877399986,None,196.10073877399986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,186.8863693029998,0,6,3,8,4,5,2,9,1.6,0,0,5,2.9000000000000004,1.6,2.9000000000000004,223.3303349979999,None,223.3303349979999,None,223.3303349979999,None,223.3303349979999,None,223.3303349979999,None,223.3303349979999,None,223.3303349979999,None,223.3303349979999,None,222.02420950700002,222.5307266960001,222.02420950700002,222.5307266960001,222.02420950700002,222.5307266960001,down,7.1326793369998995,223.3303349979999,None,230.51431656699992,None,c,1.0447461349999685,230.51431656699992,None,230.51431656699992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,204.01415999099981,1,6,2,8,3,9,4,7,1.6,1,1,2,1.5,1.6,2.1,239.07118911500015,None,239.07118911500015,None,239.07118911500015,None,239.07118911500015,None,239.07118911500015,None,239.07118911500015,None,239.07118911500015,None,239.07118911500015,None,239.1776976210001,239.68417882400013,239.1776976210001,239.68417882400013,239.1776976210001,239.68417882400013,left,6.949382917000094,239.1776976210001,None,246.16169384699992,None,c,2.9173818250001204,246.16169384699992,None,246.16169384699992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,222.60631119299978,4,9,2,5,1,7,3,8,1.6,0,1,6,2.9000000000000004,1.6,2.9000000000000004,259.05020959599983,None,259.05020959599983,None,259.05020959599983,None,259.05020959599983,None,259.05020959599983,None,259.05020959599983,None,259.05020959599983,None,259.05020959599983,None,257.74401375699995,258.250472425,257.74401375699995,258.250472425,257.74401375699995,258.250472425,left,7.188896179000039,259.05020959599983,None,266.27411672799985,None,x,1.5649624369998492,266.27411672799985,None,266.27411672799985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,240.70744709099972,0,7,2,9,3,5,4,6,1.6,1,0,4,1.5,1.6,2.1,275.76389786699997,None,275.76389786699997,None,275.76389786699997,None,275.76389786699997,None,275.76389786699997,None,275.76389786699997,None,275.76389786699997,None,275.76389786699997,None,275.8438193919999,276.3503287400001,275.8438193919999,276.3503287400001,275.8438193919999,276.3503287400001,down,12.54714999099997,275.8438193919999,None,288.425704216,None,c,0.9653625579999243,288.425704216,None,288.425704216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,261.07241580599975,3,5,0,9,2,6,1,8,1.6,1,1,2,1.5,1.6,2.1,296.12942593799994,None,296.12942593799994,None,296.12942593799994,None,296.12942593799994,None,296.12942593799994,None,296.12942593799994,None,296.12942593799994,None,296.12942593799994,None,296.2094216799999,296.71594375200016,296.2094216799999,296.71594375200016,296.2094216799999,296.71594375200016,left,3.7656344110000646,296.2094216799999,None,300.02138158899993,None,x,1.2896469850002177,300.02138158899993,None,300.02138158899993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,270.695017213,4,5,1,8,2,9,0,7,1.6,0,1,4,2.9000000000000004,1.6,2.9000000000000004,307.13861024799985,None,307.13861024799985,None,307.13861024799985,None,307.13861024799985,None,307.13861024799985,None,307.13861024799985,None,307.13861024799985,None,307.13861024799985,None,305.832499158,306.33892810400016,305.832499158,306.33892810400016,305.832499158,306.33892810400016,down,2.308441426000172,307.13861024799985,None,309.48443098799976,None,x,1.0506430509999518,309.48443098799976,None,309.48443098799976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,401.59065890500005,1,6,2,7,0,8,4,9,0,0,7,434.5836443810001,None,1,6,2,7,0,8,4,9,0,437.1960142539999,None,437.1960142539999,None,437.1960142539999,None,437.1960142539999,None,437.1960142539999,None,437.1960142539999,None,437.1960142539999,None,437.1960142539999,None,435.8898406279998,436.396351008,435.8898406279998,436.396351008,435.8898406279998,436.396351008,None,None,down,3.35503556499998,437.1960142539999,None,None,None,c,3.289585594000073,440.62144129800004,None,443.95350466700006,None,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,411.54095284000005,0,6,3,7,1,9,2,5,0,1,1,444.5399151660001,None,0,4,3,7,1,9,2,5,1,447.13890817900005,None,447.13890817900005,None,447.13890817900005,None,447.13890817900005,None,447.13890817900005,None,447.13890817900005,None,447.13890817900005,None,447.13890817900005,None,445.8593863059998,446.3659094520001,445.8593863059998,446.3659094520001,445.8593863059998,446.3659094520001,None,None,down,1.1881436740000026,447.13890817900005,None,None,None,z,0.311321917999976,448.39175746900014,None,448.7383023499999,None,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,416.3239462209999,4,6,0,8,2,5,1,9,1,1,7,449.31141324999976,None,4,6,0,8,2,5,1,3,1,450.5242564869998,None,450.5242564869998,None,450.5242564869998,None,450.5242564869998,None,450.5242564869998,None,450.5242564869998,None,450.5242564869998,None,450.5242564869998,None,450.6308318869999,451.1373992649999,450.6308318869999,451.1373992649999,450.6308318869999,451.1373992649999,None,None,left,1.7682203340000342,450.6308318869999,None,None,None,x,0.6887723209997603,452.4702576530001,None,453.19001335200005,None,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,420.7774741549997,3,6,0,7,2,9,1,8,1,1,5,453.7763936670001,None,3,6,0,7,2,4,1,8,1,455.00258620599993,None,455.00258620599993,None,455.00258620599993,None,455.00258620599993,None,455.00258620599993,None,455.00258620599993,None,455.00258620599993,None,455.00258620599993,None,455.08259565899994,455.5890366189999,455.08259565899994,455.5890366189999,455.08259565899994,455.5890366189999,None,None,down,6.308514018000096,455.08259565899994,None,None,None,c,0.3697050680002576,461.45336560300007,None,461.85337378500003,None,,,,,,,,,108,23,2022_Sep_21_1237,templeton_exp2A_SD,2020.2.10,37.51375488713102,
