trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,20.644611722000263,None,140.67911624100088,None,140.67911624100088,None,140.67911624100088,None,199.4701327820003,None,227.78600754999934,0,7,1,9,2,6,4,8,1.6,0,1,0,2.9000000000000004,1.6,2.9000000000000004,251.9302902039999,None,251.9302902039999,None,251.9302902039999,None,251.9302902039999,None,251.9302902039999,None,251.9302902039999,None,251.9302902039999,None,251.9302902039999,None,250.63746228200034,251.14388914400115,250.63746228200034,251.14388914400115,250.63746228200034,251.14388914400115,down,3.292237235000357,251.9302902039999,None,255.27566694800043,None,z,12.474965050998435,255.27566694800043,None,255.27566694800043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,249.36107936400003,3,7,2,8,4,5,1,6,1.6,1,0,6,1.5,1.6,2.1,272.10927520100086,None,272.10927520100086,None,272.10927520100086,None,272.10927520100086,None,272.10927520100086,None,272.10927520100086,None,272.10927520100086,None,272.10927520100086,None,272.215948330002,272.72238086500147,272.215948330002,272.72238086500147,272.215948330002,272.72238086500147,down,2.7027580159992795,272.215948330002,None,274.9482095019994,None,x,1.5544307660020422,274.9482095019994,None,274.9482095019994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,257.13099995800076,4,9,1,7,3,6,0,8,1.6,1,1,7,1.5,1.6,2.1,279.8930022380009,None,279.8930022380009,None,279.8930022380009,None,279.8930022380009,None,279.8930022380009,None,279.8930022380009,None,279.8930022380009,None,279.8930022380009,None,279.98626665100164,280.49280665100014,279.98626665100164,280.49280665100014,279.98626665100164,280.49280665100014,left,2.5243547190002573,279.98626665100164,None,282.5320352999988,None,z,1.3386384240002371,282.5320352999988,None,282.5320352999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,264.5145015050002,3,8,1,6,2,5,0,7,1.6,1,1,1,1.5,1.6,2.1,287.2635327720018,None,287.2635327720018,None,287.2635327720018,None,287.2635327720018,None,287.2635327720018,None,287.2635327720018,None,287.2635327720018,None,287.2635327720018,None,287.3701731850015,287.87670963300116,287.3701731850015,287.87670963300116,287.3701731850015,287.87670963300116,left,1.4764551379994373,287.3701731850015,None,288.862978090001,None,z,2.5036303699998825,288.862978090001,None,288.862978090001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,272.08550510499845,1,7,4,9,2,6,0,8,1.6,1,1,0,1.5,1.6,2.1,294.8340353120002,None,294.8340353120002,None,294.8340353120002,None,294.8340353120002,None,294.8340353120002,None,294.8340353120002,None,294.8340353120002,None,294.8340353120002,None,294.9406771569993,295.4471506709997,294.9406771569993,295.4471506709997,294.9406771569993,295.4471506709997,left,1.417941656000039,294.9406771569993,None,296.3801060680016,None,x,4.370535025998834,296.3801060680016,None,296.3801060680016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,281.12040000100023,2,7,4,5,0,8,3,6,1.6,0,0,0,2.9000000000000004,1.6,2.9000000000000004,305.27001453400226,None,305.27001453400226,None,305.27001453400226,None,305.27001453400226,None,305.27001453400226,None,305.27001453400226,None,305.27001453400226,None,305.27001453400226,None,303.97719848199995,304.48371058799967,303.97719848199995,304.48371058799967,303.97719848199995,304.48371058799967,down,1.5446120369997516,305.27001453400226,None,306.8294488470019,None,z,0.7291916949980077,306.8294488470019,None,306.8294488470019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,287.744319458001,0,9,1,6,4,8,3,5,1.6,0,0,7,2.9000000000000004,1.6,2.9000000000000004,311.8808873400012,None,311.8808873400012,None,311.8808873400012,None,311.8808873400012,None,311.8808873400012,None,311.8808873400012,None,311.8808873400012,None,311.8808873400012,None,310.58802107700103,311.09449014500206,310.58802107700103,311.09449014500206,310.58802107700103,311.09449014500206,down,1.285720797997783,311.8808873400012,None,313.18704849200003,None,z,0.6035796719988866,313.18704849200003,None,313.18704849200003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,328.91993997700047,2,9,1,7,0,8,3,5,1,0,1,349.599968677001,None,2,9,1,7,0,8,3,5,0,350.8127998550008,None,350.8127998550008,None,350.8127998550008,None,350.8127998550008,None,350.8127998550008,None,350.8127998550008,None,350.8127998550008,None,350.8127998550008,None,350.9193901239996,351.4258827779995,350.9193901239996,351.4258827779995,350.9193901239996,351.4258827779995,None,None,down,3.551231846999144,350.9193901239996,None,364.5142474380009,None,z,91.4351958820007,354.53143177200036,None,445.990054165999,None,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,425.8951522339994,3,9,4,8,2,6,0,5,1,1,7,446.57650515800196,None,3,9,4,8,2,6,0,1,0,447.8026821429994,None,447.8026821429994,None,447.8026821429994,None,447.8026821429994,None,447.8026821429994,None,447.8026821429994,None,447.8026821429994,None,447.8026821429994,None,447.8959750819995,448.4024921490018,447.8959750819995,448.4024921490018,447.8959750819995,448.4024921490018,None,None,left,1.7186010730001726,447.8959750819995,None,None,None,z,0.7672051299996383,449.6553813009996,None,450.4416949160004,None,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,430.3484045519981,1,9,2,7,3,6,4,5,1,0,4,451.02810376699927,None,1,9,2,7,3,6,4,5,0,452.25434363300155,None,452.25434363300155,None,452.25434363300155,None,452.25434363300155,None,452.25434363300155,None,452.25434363300155,None,452.25434363300155,None,452.25434363300155,None,452.3476843169992,452.85416427200107,452.3476843169992,452.85416427200107,452.3476843169992,452.85416427200107,None,None,down,2.7789325090016064,452.3476843169992,None,None,None,c,0.6173414699987916,455.17329122199953,None,455.81297208600154,None,,,,,,,,,111,32,2022_Sep_23_1406,templeton_exp2A_SD,2020.2.10,75.02800851822263,
