trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,34.91226120200008,None,92.75698171100066,None,92.75698171100066,None,92.75698171100066,None,168.7282406410004,None,208.085433233,4,6,2,8,0,9,3,5,1.6,0,1,4,2.9000000000000004,1.6,2.9000000000000004,246.51209820300028,None,246.51209820300028,None,246.51209820300028,None,246.51209820300028,None,246.51209820300028,None,246.51209820300028,None,246.51209820300028,None,246.51209820300028,None,245.2192045110005,245.7256120510001,245.2192045110005,245.7256120510001,245.2192045110005,245.7256120510001,down,3.6071334759999445,246.51209820300028,None,250.1639771099999,None,x,17.43525311399935,250.1639771099999,None,250.1639771099999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,242.9235897690005,3,8,0,9,4,7,1,5,1.6,0,0,3,2.9000000000000004,1.6,2.9000000000000004,281.3387698920005,None,281.3387698920005,None,281.3387698920005,None,281.3387698920005,None,281.3387698920005,None,281.3387698920005,None,281.3387698920005,None,281.3387698920005,None,280.03268066000055,280.5390908449999,280.03268066000055,280.5390908449999,280.03268066000055,280.5390908449999,down,8.868458287000067,281.3387698920005,None,290.24218775900044,None,c,1.021066319000056,290.24218775900044,None,290.24218775900044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,272.44410126599996,3,7,1,5,2,9,4,8,1.6,1,0,1,1.5,1.6,2.1,309.4615830440007,None,309.4615830440007,None,309.4615830440007,None,309.4615830440007,None,309.4615830440007,None,309.4615830440007,None,309.4615830440007,None,309.4615830440007,None,309.5548138240001,310.06135978600014,309.5548138240001,310.06135978600014,309.5548138240001,310.06135978600014,left,2.492388474999643,309.5548138240001,None,312.060588497,None,x,2.4346844840001722,312.060588497,None,312.060588497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,281.3350342120002,2,9,4,5,1,8,0,6,1.6,1,0,1,1.5,1.6,2.1,318.35151141999995,None,318.35151141999995,None,318.35151141999995,None,318.35151141999995,None,318.35151141999995,None,318.35151141999995,None,318.35151141999995,None,318.35151141999995,None,318.4447741390004,318.9512243570007,318.4447741390004,318.9512243570007,318.4447741390004,318.9512243570007,left,2.0024661400002515,318.4447741390004,None,320.4706131840003,None,x,0.9046425189999354,320.4706131840003,None,320.4706131840003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,288.90701771100066,2,7,1,9,4,6,0,5,1.6,0,1,3,2.9000000000000004,1.6,2.9000000000000004,327.33475851000003,None,327.33475851000003,None,327.33475851000003,None,327.33475851000003,None,327.33475851000003,None,327.33475851000003,None,327.33475851000003,None,327.33475851000003,None,326.04195977700056,326.548395498,326.04195977700056,326.548395498,326.04195977700056,326.548395498,left,3.1045059939997373,327.33475851000003,None,330.45351909000055,None,z,1.0097194580002906,330.45351909000055,None,330.45351909000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,298.78188873,2,5,4,6,0,7,3,9,1.6,1,1,7,1.5,1.6,2.1,335.7982079150006,None,335.7982079150006,None,335.7982079150006,None,335.7982079150006,None,335.7982079150006,None,335.7982079150006,None,335.7982079150006,None,335.7982079150006,None,335.90487216900056,336.4113722060001,335.90487216900056,336.4113722060001,335.90487216900056,336.4113722060001,down,2.47036840400051,335.90487216900056,None,338.3972660210002,None,x,1.3939918179994493,338.3972660210002,None,338.3972660210002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,307.8199167170005,2,7,3,6,1,5,0,8,1.6,1,1,1,1.5,1.6,2.1,344.848167311,None,344.848167311,None,344.848167311,None,344.848167311,None,344.848167311,None,344.848167311,None,344.848167311,None,344.848167311,None,344.94146145000013,345.4479053240002,344.94146145000013,345.4479053240002,344.94146145000013,345.4479053240002,down,1.7938254139999117,344.94146145000013,None,346.75403544100027,None,z,1.8612624730003517,346.75403544100027,None,346.75403544100027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,504.53955477,3,5,0,8,1,6,2,9,0,1,4,539.494448298,None,3,5,0,8,4,6,2,9,1,542.1200514390002,None,542.1200514390002,None,542.1200514390002,None,542.1200514390002,None,542.1200514390002,None,542.1200514390002,None,542.1200514390002,None,542.1200514390002,None,540.8139092210004,541.3202867520004,540.8139092210004,541.3202867520004,540.8139092210004,541.3202867520004,None,None,left,2.799084440000115,542.1200514390002,None,None,None,c,1.7017311879999397,544.9855282280005,None,546.7049578120004,None,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,512.3337695670007,4,6,1,5,0,8,2,7,0,0,1,547.2914604450007,None,4,6,1,5,0,8,2,7,2,549.9170559170007,None,549.9170559170007,None,549.9170559170007,None,549.9170559170007,None,549.9170559170007,None,549.9170559170007,None,549.9170559170007,None,549.9170559170007,None,548.6108922310004,549.1174277150003,548.6108922310004,549.1174277150003,548.6108922310004,549.1174277150003,None,None,down,2.0260646729993823,549.9170559170007,None,None,None,x,8.074989482000092,551.9962196700008,None,560.08652016,None,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,525.7140883720003,3,7,0,5,1,9,2,6,1,0,6,560.6730205610002,None,3,7,0,5,1,9,2,6,2,561.8991161120002,None,561.8991161120002,None,561.8991161120002,None,561.8991161120002,None,561.8991161120002,None,561.8991161120002,None,561.8991161120002,None,561.8991161120002,None,561.9925923370001,562.4990214750005,561.9925923370001,562.4990214750005,561.9925923370001,562.4990214750005,None,None,down,3.2626106560001062,561.9925923370001,None,None,None,z,0.9732549249993099,565.2978990870006,None,566.2975251440002,None,,,,,,,,,107,32,2022_Sep_20_1505,templeton_exp2A_SD,2020.2.10,75.02565952575875,
